,database,measure,score,iter
0,test,accuracy,0.38117365905469996,0
1,test,accuracy,0.38050982474774303,10
2,test,accuracy,0.3838289962825279,20
3,test,accuracy,0.3896707381837493,30
4,test,accuracy,0.3867498672331386,40
5,test,accuracy,0.386218799787573,50
6,test,accuracy,0.3859532660647903,60
7,test,accuracy,0.3863515666489644,70
8,test,accuracy,0.3834306956983537,80
9,test,accuracy,0.3819702602230483,90
10,test,accuracy,0.3834306956983537,100
11,test,accuracy,0.38050982474774303,110
12,test,accuracy,0.38728093467870417,120
13,test,accuracy,0.3891396707381837,130
14,test,accuracy,0.393919277748274,140
15,test,accuracy,0.393919277748274,150
16,test,accuracy,0.3986988847583643,160
17,test,accuracy,0.393255443441317,170
18,test,accuracy,0.3821030270844397,100
19,test,accuracy,0.38117365905469996,100
20,test,accuracy,0.3825013276686139,100
21,test,accuracy,0.3755974508762613,110
22,test,accuracy,0.3844928305894849,120
23,test,accuracy,0.3669676048858205,130
24,test,accuracy,0.3555496548061604,140
25,test,accuracy,0.347052575677111,150
26,test,accuracy,0.34492830589484863,160
27,test,accuracy,0.3356346255974509,170
28,test,accuracy,0.3416091343600637,180
29,test,accuracy,0.3469198088157196,190
30,test,accuracy,0.3454593733404142,200
31,test,accuracy,0.34599044078597985,200
32,test,accuracy,0.34731810939989377,210
33,test,accuracy,0.348380244291025,220
34,test,accuracy,0.3539564524694636,230
35,test,accuracy,0.3544875199150292,240
36,test,accuracy,0.3518321826872013,250
37,test,accuracy,0.3555496548061604,260
38,test,accuracy,0.3574083908656399,270
39,test,accuracy,0.3588688263409453,280
40,test,accuracy,0.35979819437068505,290
41,test,accuracy,0.36271906532129583,300
42,test,accuracy,0.36271906532129583,310
43,test,accuracy,0.3625862984599044,320
44,test,accuracy,0.36537440254912373,330
45,test,accuracy,0.3673659054699947,340
46,test,accuracy,0.3702867764206054,350
47,test,accuracy,0.3744025491237387,360
48,test,accuracy,0.37466808284652153,370
49,test,accuracy,0.3755974508762613,380
50,test,accuracy,0.3779872543813064,390
51,test,accuracy,0.3831651619755709,400
52,test,accuracy,0.38462559745087627,410
53,test,accuracy,0.3835634625597451,420
54,test,accuracy,0.3847583643122677,430
55,test,accuracy,0.385554965480616,440
56,test,accuracy,0.38661710037174724,450
57,test,accuracy,0.3856877323420074,460
58,test,accuracy,0.3876792352628784,470
59,test,accuracy,0.3917950079660117,480
